,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
98,Museum of the National Library,4.5,"Paseo de Recoletos, 20, 22, 28001 Madrid, Spain",2.0,museum,plan,culture,28001,40.4227499,-3.6909589,"{'type': 'Point', 'coordinates': [40.4227499, -3.6909589]}",15-25€
99,Contemporary Sculpture Collection Renfe,4.0,"Calle de Santa Isabel, 44, 28012 Madrid, Spain",2.0,museum,plan,culture,28012,40.40991169999999,-3.6970753,"{'type': 'Point', 'coordinates': [40.40991169999999, -3.6970753]}",15-25€
100,Museo ICO,4.5,"Calle de Zorrilla, 3, 28014 Madrid, Spain",2.0,museum,plan,culture,28014,40.4168275,-3.6977867,"{'type': 'Point', 'coordinates': [40.4168275, -3.6977867]}",15-25€
101,Museo de Cera,3.9,"Plaza de Colón, 1, 28001 Madrid, Spain",2.0,museum,plan,culture,28001,40.4250641,-3.6914088,"{'type': 'Point', 'coordinates': [40.4250641, -3.6914088]}",15-25€
102,Escultura de Dan Graham. Pabellon Daca. Jardin Edificio Sabatini. Museo Reina Sofia de Madrid.,0.0,"28012 Madrid, Spain",2.0,museum,plan,culture,28012,40.4082026,-3.694802,"{'type': 'Point', 'coordinates': [40.4082026, -3.694802]}",15-25€
103,Museum Velázquez tech,4.4,"C. de Atocha, 12, 28012 Madrid, Spain",2.0,museum,plan,culture,28012,40.4144457,-3.7045909,"{'type': 'Point', 'coordinates': [40.4144457, -3.7045909]}",15-25€
104,National Museum of Science and Technology,4.6,"Calle del Pintor Velázquez, 5, 28100 Alcobendas, Madrid, Spain",2.0,museum,plan,culture,28100,40.5375439,-3.6414533,"{'type': 'Point', 'coordinates': [40.5375439, -3.6414533]}",15-25€
105,El Sol de la Puerta del Sol. Madrid,5.0,"Calle de Alcalá, 3, 28014 Madrid, Spain",2.0,museum,plan,culture,28014,40.4171961,-3.7022308,"{'type': 'Point', 'coordinates': [40.4171961, -3.7022308]}",15-25€
106,El Casón del Buen Retiro,4.4,"Calle de Alfonso XII, 28, 28014 Madrid, Spain",2.0,museum,plan,culture,28014,40.4152817,-3.6896006,"{'type': 'Point', 'coordinates': [40.4152817, -3.6896006]}",15-25€
107,Railway museum,4.5,"Calle de Tomás Bretón, 47E, 28045 Madrid, Spain",2.0,museum,plan,culture,28045,40.3994098,-3.6921392,"{'type': 'Point', 'coordinates': [40.3994098, -3.6921392]}",15-25€
