,provincia,poblacion,CP,lat,lon
152,Madrid,Madrid,28016,-3.687.600.880,40.408.411.910
153,Madrid,Madrid,28017,-3.687.600.880,40.408.411.910
154,Madrid,Madrid,28018,-3.687.600.880,40.408.411.910
155,Madrid,Madrid,28019,-3.687.600.880,40.408.411.910
156,Madrid,Madrid,28020,-3.687.600.880,40.408.411.910
157,Madrid,Madrid,28021,-3.687.600.880,40.408.411.910
158,Madrid,Madrid,28022,-3.687.600.880,40.408.411.910
159,Madrid,Madrid,28023,-3.687.600.880,40.408.411.910
160,Madrid,Madrid,28024,-3.687.600.880,40.408.411.910
161,Madrid,Madrid,28025,-3.687.600.880,40.408.411.910
162,Madrid,Madrid,28026,-3.687.600.880,40.408.411.910
163,Madrid,Madrid,28027,-3.687.600.880,40.408.411.910
164,Madrid,Madrid,28028,-3.687.600.880,40.408.411.910
165,Madrid,Madrid,28029,-3.687.600.880,40.408.411.910
166,Madrid,Madrid,28030,-3.687.600.880,40.408.411.910
167,Madrid,Madrid,28031,-3.687.600.880,40.408.411.910
168,Madrid,Madrid,28032,-3.687.600.880,40.408.411.910
169,Madrid,Madrid,28033,-3.687.600.880,40.408.411.910
170,Madrid,Madrid,28034,-3.687.600.880,40.408.411.910
171,Madrid,Madrid,28035,-3.687.600.880,40.408.411.910
172,Madrid,Madrid,28036,-3.687.600.880,40.408.411.910
173,Madrid,Madrid,28037,-3.687.600.880,40.408.411.910
174,Madrid,Madrid,28038,-3.687.600.880,40.408.411.910
175,Madrid,Madrid,28039,-3.687.600.880,40.408.411.910
176,Madrid,Madrid,28040,-3.687.600.880,40.408.411.910
177,Madrid,Madrid,28041,-3.687.600.880,40.408.411.910
178,Madrid,Madrid,28042,-3.687.600.880,40.408.411.910
179,Madrid,Madrid,28043,-3.687.600.880,40.408.411.910
180,Madrid,Madrid,28044,-3.687.600.880,40.408.411.910
181,Madrid,Madrid,28045,-3.687.600.880,40.408.411.910
182,Madrid,Madrid,28046,-3.687.600.880,40.408.411.910
183,Madrid,Madrid,28047,-3.687.600.880,40.408.411.910
184,Madrid,Madrid,28048,-3.687.600.880,40.408.411.910
185,Madrid,Madrid,28049,-3.687.600.880,40.408.411.910
186,Madrid,Madrid,28050,-3.687.600.880,40.408.411.910
187,Madrid,Madrid,28051,-3.687.600.880,40.408.411.910
188,Madrid,Madrid,28052,-3.687.600.880,40.408.411.910
189,Madrid,Madrid,28053,-3.687.600.880,40.408.411.910
190,Madrid,Madrid,28054,-3.687.600.880,40.408.411.910
191,Madrid,Madrid,28055,-3.687.600.880,40.408.411.910
192,Madrid,Majadahonda,28220,-3.874.115.130,40.472.099.620
193,Madrid,Majadahonda,28221,-3.874.115.130,40.472.099.620
194,Madrid,Majadahonda,28222,-3.874.115.130,40.472.099.620
195,Madrid,Manzanares el Real,28410,-3.864.864.850,40.726.098.120
