,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
98,Dark Street Escape Room,4.8,"C. de la Amnistía, 3, 28013 Madrid, Spain",2.0,escape room,28013,40.4172552,-3.7103439,"{'type': 'Point', 'coordinates': [-3.7103439, 40.4172552]}",1-15€
99,ActionHouse - Room Escape & Roleplaying,4.9,"Calle Luis Vives, 6, Local Izquierda, Puerta Morada, 28002 Madrid, Spain",2.0,escape room,28002,40.443663,-3.676387199999999,"{'type': 'Point', 'coordinates': [-3.676387199999999, 40.443663]}",15-25€
100,Escape Room A Domicilio,4.7,"Calle de María de Molina, 66, 28006 Madrid, Spain",2.0,escape room,28006,40.4372415,-3.6782569,"{'type': 'Point', 'coordinates': [-3.6782569, 40.4372415]}",15-25€
101,Experiencity Escape Room,4.9,"Plaza de Francisco Morano, 3, 28005 Madrid, Spain",2.0,escape room,28005,40.4048526,-3.7163837,"{'type': 'Point', 'coordinates': [-3.7163837, 40.4048526]}",1-15€
102,Incognito Escape Game,4.9,"Calle de Linneo, 4, 28005 Madrid, Spain",2.0,escape room,28005,40.4134561,-3.7205637,"{'type': 'Point', 'coordinates': [-3.7205637, 40.4134561]}",1-15€
103,The Rombo Code Escape Room Madrid,4.6,"Calle de Meléndez Valdés, 18, 28015 Madrid, Spain",2.0,escape room,28015,40.4329883,-3.7100927,"{'type': 'Point', 'coordinates': [-3.7100927, 40.4329883]}",1-15€
104,Escape Room Road Out,5.0,"Calle Electrónica, 6, 28027 Madrid, Spain",2.0,escape room,28027,40.4406898,-3.65421,"{'type': 'Point', 'coordinates': [-3.65421, 40.4406898]}",1-15€
105,Fox in a Box Escape Room Madrid Centro,4.8,"C/ del Áncora, 12, 28045 Madrid, Spain",2.0,escape room,28045,40.40278199999999,-3.6920181,"{'type': 'Point', 'coordinates': [-3.6920181, 40.40278199999999]}",1-15€
106,Escape Room RK Games Madrid - Ciencia ficción & Role playing,4.8,"Calle Mendívil, 58, 28038 Madrid, Spain",2.0,escape room,28038,40.3990702,-3.662422899999999,"{'type': 'Point', 'coordinates': [-3.662422899999999, 40.3990702]}",1-15€
107,La Casa de Papel: Escape Room,4.4,"Calle de Jorge Juan, 99, 28009 Madrid, Spain",2.0,escape room,28009,40.4233225,-3.6721373,"{'type': 'Point', 'coordinates': [-3.6721373, 40.4233225]}",1-15€
108,Esfinge Escape Room,4.8,"Calle de Canillas, 12, 28002 Madrid, Spain",2.0,escape room,28002,40.4406997,-3.6768546,"{'type': 'Point', 'coordinates': [-3.6768546, 40.4406997]}",15-25€
109,Hermético Escape Rooms,4.7,"Calle de Sta Engracia, 15, 28010 Madrid, Spain",2.0,escape room,28010,40.4299764,-3.6968354,"{'type': 'Point', 'coordinates': [-3.6968354, 40.4299764]}",1-15€
110,Escape Room El Búho Games,5.0,"Plaza de las Comendadoras, 28015 Madrid, Spain",2.0,escape room,28015,40.4270546,-3.7091798,"{'type': 'Point', 'coordinates': [-3.7091798, 40.4270546]}",1-15€
111,Dale al Coco Room Escape,4.9,"Calle de San Cayetano, 3B, Local, 28005 Madrid, Spain",2.0,escape room,28005,40.4093346,-3.7064017,"{'type': 'Point', 'coordinates': [-3.7064017, 40.4093346]}",1-15€
112,Escape Room Madrid - Coco Room,4.7,"C. de Moratines, 18, 28005 Madrid, Spain",2.0,escape room,28005,40.40265,-3.703896,"{'type': 'Point', 'coordinates': [-3.703896, 40.40265]}",1-15€
113,The Box - Escape Room,4.7,"Calle de Covarrubias, 22, 28010 Madrid, Spain",2.0,escape room,28010,40.4300619,-3.6975783,"{'type': 'Point', 'coordinates': [-3.6975783, 40.4300619]}",15-25€
114,Golden Escape Room Madrid (Coslada),4.7,"Av. de Madrid, 18, 28822 Coslada, Madrid, Spain",2.0,escape room,28822,40.4210257,-3.5419188,"{'type': 'Point', 'coordinates': [-3.5419188, 40.4210257]}",1-15€
115,Linked Minds Escape Room,4.8,"Calle de Pizarro, 22, Dcha, 28004 Madrid, Spain",2.0,escape room,28004,40.4234971,-3.7055439,"{'type': 'Point', 'coordinates': [-3.7055439, 40.4234971]}",1-15€
116,La Estación Escape Room,4.9,"Centro Comercial Alcalá Norte Semisotano 8/9, 28027 Madrid, Spain",2.0,escape room,28027,40.4369717,-3.6377692,"{'type': 'Point', 'coordinates': [-3.6377692, 40.4369717]}",1-15€
117,Mindtrap Escape Rooms,4.9,"Calle de Sebastián Elcano, 21, Local, 28012 Madrid, Spain",2.0,escape room,28012,40.4051045,-3.6982029,"{'type': 'Point', 'coordinates': [-3.6982029, 40.4051045]}",1-15€
118,Yaebi Escape Room,4.8,"Calle de San Jaime, 60, 28031 Madrid, Spain",2.0,escape room,28031,40.3809922,-3.6248843,"{'type': 'Point', 'coordinates': [-3.6248843, 40.3809922]}",1-15€
119,Cubick Madrid Room Escape,4.9,"Calle de Téllez, 3, 28007 Madrid, Spain",2.0,escape room,28007,40.4041722,-3.6831743,"{'type': 'Point', 'coordinates': [-3.6831743, 40.4041722]}",1-15€
