,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
80,La Vía Láctea,4.2,"Calle de Velarde, 18, 28004 Madrid, Spain",2.0,pub,28004,40.4268844,-3.702931,"{'type': 'Point', 'coordinates': [40.4268844, -3.702931]}",1-15€
81,Baker Street,4.3,"Calle de Zurbano, 34, 28010 Madrid, Spain",1.0,pub,28010,40.430404,-3.693445,"{'type': 'Point', 'coordinates': [40.430404, -3.693445]}",1-15€
82,Areia,4.4,"Calle de Hortaleza, 92, 28004 Madrid, Spain",2.0,pub,28004,40.4245406,-3.6980344,"{'type': 'Point', 'coordinates': [40.4245406, -3.6980344]}",1-15€
83,Cien por Cien Madrid,4.2,"Calle de la Santísima Trinidad, 30, 28010 Madrid, Spain",1.0,pub,28010,40.4378861,-3.700825,"{'type': 'Point', 'coordinates': [40.4378861, -3.700825]}",1-15€
84,Madriz-Madrid Rock Bar,4.3,"Calle de Gaztambide, 20, 28015 Madrid, Spain",1.0,pub,28015,40.4332901,-3.7155315,"{'type': 'Point', 'coordinates': [40.4332901, -3.7155315]}",1-15€
85,Cervecería Deportiva Sports Bar,3.6,"Calle de las Veneras, 7, 28013 Madrid, Spain",1.0,pub,28013,40.4195096,-3.7076544,"{'type': 'Point', 'coordinates': [40.4195096, -3.7076544]}",15-25€
86,Newbridge irish pub,4.0,"Calle de Bailén, 33, 28005 Madrid, Spain",2.0,pub,28005,40.412828,-3.7136068,"{'type': 'Point', 'coordinates': [40.412828, -3.7136068]}",1-15€
87,Maloney's,4.3,"Calle de Bretón de los Herreros, 61, 28003 Madrid, Spain",1.0,pub,28003,40.43942089999999,-3.692986,"{'type': 'Point', 'coordinates': [40.43942089999999, -3.692986]}",1-15€
88,Beer Station,4.3,"Cuesta de Sto. Domingo, 22, 28013 Madrid, Spain",2.0,pub,28013,40.4196872,-3.7084798,"{'type': 'Point', 'coordinates': [40.4196872, -3.7084798]}",15-25€
89,Rhum Rhum - Pubs Madrid,5.0,"Casino Gran Madrid, Paseo de Recoletos, 37, 41, 28004 Madrid, Spain",2.0,pub,28004,40.4243701,-3.6914074,"{'type': 'Point', 'coordinates': [40.4243701, -3.6914074]}",1-15€
90,Brindis,4.1,"Calle de las Tres Cruces, 8, 28013 Madrid, Spain",2.0,pub,28013,40.4195383,-3.7026836,"{'type': 'Point', 'coordinates': [40.4195383, -3.7026836]}",1-15€
91,Del Diego Cocktail Bar,4.4,"Calle de la Reina, 12, 28004 Madrid, Spain",2.0,pub,28004,40.42001399999999,-3.699275,"{'type': 'Point', 'coordinates': [40.42001399999999, -3.699275]}",1-15€
92,Etnico Madrid,4.0,"Calle de Echegaray, 10, 28012 Madrid, Spain",2.0,pub,28012,40.4156455,-3.6996873,"{'type': 'Point', 'coordinates': [40.4156455, -3.6996873]}",1-15€
93,MacLaren's Irish & Sports Bar - Vaguada,4.3,"Calle de Santiago de Compostela, 40, 28034 Madrid, Spain",1.0,pub,28034,40.48312689999999,-3.703136499999999,"{'type': 'Point', 'coordinates': [40.48312689999999, -3.703136499999999]}",15-25€
94,Insomnia Pub Madrid,3.2,"Plaza de Isabel II, 1, 28013 Madrid, Spain",2.0,pub,28013,40.4185131,-3.7093232,"{'type': 'Point', 'coordinates': [40.4185131, -3.7093232]}",1-15€
95,Penalti Lounge Bar Moncloa,3.9,"Calle de Fernández de los Ríos, 95, 28015 Madrid, Spain",1.0,pub,28015,40.435419,-3.717764,"{'type': 'Point', 'coordinates': [40.435419, -3.717764]}",1-15€
96,The Stuyck Co,4.4,"Corredera Alta de San Pablo, 33, 28004 Madrid, Spain",2.0,pub,28004,40.4265004,-3.7017522,"{'type': 'Point', 'coordinates': [40.4265004, -3.7017522]}",1-15€
97,La Fontanilla,4.1,"Plaza de Puerta Cerrada, 13, 28005 Madrid, Spain",1.0,pub,28005,40.413847,-3.7082899,"{'type': 'Point', 'coordinates': [40.413847, -3.7082899]}",1-15€
98,Wanderlust Bar,4.1,"Calle del Bonetillo, 14, 28013 Madrid, Spain",1.0,pub,28013,40.4168279,-3.7091132,"{'type': 'Point', 'coordinates': [40.4168279, -3.7091132]}",1-15€
99,TBC,4.1,"Calle de las Huertas, 41, 28014 Madrid, Spain",1.0,pub,28014,40.413565,-3.698164,"{'type': 'Point', 'coordinates': [40.413565, -3.698164]}",15-25€
100,PUB CLAPTON,4.6,"Calle de San Emilio, 68, 28017 Madrid, Spain",1.0,pub,28017,40.4269407,-3.6549719,"{'type': 'Point', 'coordinates': [40.4269407, -3.6549719]}",15-25€
101,The Red Lion (el Leon Rojo),3.5,"Calle de Juan Hurtado de Mendoza, 9, 28036 Madrid, Spain",2.0,pub,28036,40.4605693,-3.6877222,"{'type': 'Point', 'coordinates': [40.4605693, -3.6877222]}",1-15€
102,Comité Madrid,4.5,"Calle de Quintana, 17, 28008 Madrid, Spain",2.0,pub,28008,40.4273806,-3.717874,"{'type': 'Point', 'coordinates': [40.4273806, -3.717874]}",1-15€
103,The Irish Corner,3.8,"C. de Arturo Soria, 6, 28027 Madrid, Spain",2.0,pub,28027,40.4386381,-3.6380659,"{'type': 'Point', 'coordinates': [40.4386381, -3.6380659]}",1-15€
104,The Room Madrid,3.8,"Calle de la Cruz, 33, 28012 Madrid, Spain",2.0,pub,28012,40.4149178,-3.702538,"{'type': 'Point', 'coordinates': [40.4149178, -3.702538]}",1-15€
105,Fábrica Maravillas,4.3,"Calle de Valverde, 29, 28004 Madrid, Spain",2.0,pub,28004,40.4226581,-3.7017355,"{'type': 'Point', 'coordinates': [40.4226581, -3.7017355]}",1-15€
106,Pub Mylord,4.1,"Calle de Modesto Lafuente, 23, 28003 Madrid, Spain",1.0,pub,28003,40.4408998,-3.6962208,"{'type': 'Point', 'coordinates': [40.4408998, -3.6962208]}",1-15€
107,Irish City Sport Bar,4.2,"Calle Caridad, 7, 28007 Madrid, Spain",1.0,pub,28007,40.4020955,-3.675606799999999,"{'type': 'Point', 'coordinates': [40.4020955, -3.675606799999999]}",1-15€
108,Pool And Beer,4.3,"Calle de Joaquín María López, 17, 28015 Madrid, Spain",1.0,pub,28015,40.4374739,-3.710974,"{'type': 'Point', 'coordinates': [40.4374739, -3.710974]}",15-25€
109,Wrong Way,4.6,"Calle de la Palma, 43, 28004 Madrid, Spain",1.0,pub,28004,40.426415,-3.705281,"{'type': 'Point', 'coordinates': [40.426415, -3.705281]}",1-15€
110,Pub Single,4.2,"Calle del Tutor, 57, 28008 Madrid, Spain",1.0,pub,28008,40.4318978,-3.7188184,"{'type': 'Point', 'coordinates': [40.4318978, -3.7188184]}",1-15€
