,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
75,Cupcake Madrid,0.0,"Calle de Velázquez, 126, 28006 Madrid, Spain",1.0,cupcakes,28006,40.43701009999999,-3.6829629,"{'type': 'Point', 'coordinates': [40.43701009999999, -3.6829629]}",1-15€
76,Bakery,4.7,"Calle de Cartagena, 101, 28002 Madrid, Spain",1.0,cupcakes,28002,40.4396634,-3.673855499999999,"{'type': 'Point', 'coordinates': [40.4396634, -3.673855499999999]}",15-25€
77,NoSonMagdalenasSonCupcakes,4.9,"Calle Puerto de Alazores, 16, 28031 Madrid, Spain",1.0,cupcakes,28031,40.3788946,-3.6255451,"{'type': 'Point', 'coordinates': [40.3788946, -3.6255451]}",1-15€
78,El horno de papá Guillermo.Tartas artesanales y personalizadas,4.7,"Calle de Toledo, 171, 28005 Madrid, Spain",1.0,cupcakes,28005,40.4025434,-3.7132583,"{'type': 'Point', 'coordinates': [40.4025434, -3.7132583]}",1-15€
79,Madrid tarta fondant Mauricci,4.5,"Calle Río Salado, 1, 2do A, 28018 Madrid, Spain",1.0,cupcakes,28018,40.3863095,-3.6510764,"{'type': 'Point', 'coordinates': [40.3863095, -3.6510764]}",1-15€
80,La Cocina de mi Vecina,4.5,"Corredera Alta de San Pablo, 15, 28004 Madrid, Spain",1.0,cupcakes,28004,40.4253466,-3.7019962,"{'type': 'Point', 'coordinates': [40.4253466, -3.7019962]}",1-15€
81,London's Bakery,4.7,"Calle de Juan Ramón Jiménez, 7, 28036 Madrid, Spain",1.0,cupcakes,28036,40.45706029999999,-3.6872544,"{'type': 'Point', 'coordinates': [40.45706029999999, -3.6872544]}",1-15€
82,Levaduramadre,4.5,"Calle del Pez, 1, 28004 Madrid, Spain",1.0,cupcakes,28004,40.4227662,-3.7040816,"{'type': 'Point', 'coordinates': [40.4227662, -3.7040816]}",1-15€
83,Bakery CON Z,4.3,"Calle, Travesía de San Mateo, #7, 28004 Madrid, Spain",1.0,cupcakes,28004,40.4253249,-3.6980579,"{'type': 'Point', 'coordinates': [40.4253249, -3.6980579]}",1-15€
84,Artisan bakery Glassé,4.3,"Calle de Modesto Lafuente, 57, 28003 Madrid, Spain",2.0,cupcakes,28003,40.4441207,-3.695851,"{'type': 'Point', 'coordinates': [40.4441207, -3.695851]}",1-15€
85,BAM Bakery,3.9,"Calle de Zurbano, 83, 28003 Madrid, Spain",1.0,cupcakes,28003,40.4394661,-3.6929049,"{'type': 'Point', 'coordinates': [40.4394661, -3.6929049]}",15-25€
86,La Cachiterie Las Tablas,4.9,"Paseo Tierra de Melide, 15, LOCAL, 28050 Madrid, Spain",1.0,cupcakes,28050,40.5070501,-3.6646083,"{'type': 'Point', 'coordinates': [40.5070501, -3.6646083]}",1-15€
87,Star Cakes Madrid,4.3,"c/ Malagón, 5 local 40, entrada por c/ Tordomar, 28043 Madrid, Spain",1.0,cupcakes,28043,40.467531,-3.639175,"{'type': 'Point', 'coordinates': [40.467531, -3.639175]}",1-15€
88,La Cocina de mi Vecina (Take Away),4.3,"Calle de Vallehermoso, 75, 28015 Madrid, Spain",1.0,cupcakes,28015,40.4382636,-3.7086485,"{'type': 'Point', 'coordinates': [40.4382636, -3.7086485]}",15-25€
89,Granier San Bernardo,3.9,"Calle de San Bernardo, 10, 28015 Madrid, Spain",1.0,cupcakes,28015,40.4221085,-3.7075654,"{'type': 'Point', 'coordinates': [40.4221085, -3.7075654]}",1-15€
90,Celicioso,3.9,"Calle de O'Donnell, 4, 28009 Madrid, Spain",1.0,cupcakes,28009,40.4215592,-3.6795075,"{'type': 'Point', 'coordinates': [40.4215592, -3.6795075]}",1-15€
91,Acaramelada Pastelería,4.5,"Paseo de los Olmos, 13, 28005 Madrid, Spain",1.0,cupcakes,28005,40.40454709999999,-3.7106253,"{'type': 'Point', 'coordinates': [40.40454709999999, -3.7106253]}",1-15€
92,Madridelicia Bakery & Cafe,4.3,"Calle de Francos Rodríguez, 69, 28039 Madrid, Spain",1.0,cupcakes,28039,40.4572586,-3.7122608,"{'type': 'Point', 'coordinates': [40.4572586, -3.7122608]}",1-15€
93,La Galleta Prometida,4.7,"Calle de Villamanín, 32, 28011 Madrid, Spain",1.0,cupcakes,28011,40.4079422,-3.7509443,"{'type': 'Point', 'coordinates': [40.4079422, -3.7509443]}",15-25€
94,Maria's Bakery,4.0,"Calle de Zurbano, 15, 28010 Madrid, Spain",1.0,cupcakes,28010,40.4288234,-3.6937754,"{'type': 'Point', 'coordinates': [40.4288234, -3.6937754]}",1-15€
95,Panadería y Pastelería en Lavapiés | KASMI,4.7,"Calle del Ave María, 18, 28012 Madrid, Spain",1.0,cupcakes,28012,40.4110492,-3.7006134,"{'type': 'Point', 'coordinates': [40.4110492, -3.7006134]}",1-15€
96,LEON THE BAKER,4.4,"Calle del Conde Duque, 19, 28015 Madrid, Spain",1.0,cupcakes,28015,40.42935,-3.709315,"{'type': 'Point', 'coordinates': [40.42935, -3.709315]}",1-15€
