,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
116,Pista,0.0,"Unnamed Road, 28108, 28108 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28108,40.5187183,-3.6577691,"{'type': 'Point', 'coordinates': [40.5187183, -3.6577691]}",More than 50€
117,Pistas de Pádel CTM,3.7,"Calle Eje 8, 17, 28053 Madrid, Spain",,paddle tennis court,plan,outdoors,28053,40.3641659,-3.6499628,"{'type': 'Point', 'coordinates': [40.3641659, -3.6499628]}",More than 50€
118,Padel madrid,4.0,"Parque Deportivo Puerta de Hierro, 28023 Madrid, Spain",,paddle tennis court,plan,outdoors,28023,40.4606973,-3.7492203,"{'type': 'Point', 'coordinates': [40.4606973, -3.7492203]}",More than 50€
119,Centro Deportivo Puente de Praga,3.8,"Av del Manzanares, s/n, 28019 Madrid, Spain",,paddle tennis court,plan,outdoors,28019,40.3947012,-3.7058472,"{'type': 'Point', 'coordinates': [40.3947012, -3.7058472]}",More than 50€
120,Pistas Padel,3.0,"Calle Thader, 51, 28037 Madrid, Spain",,paddle tennis court,plan,outdoors,28037,40.4282008,-3.6150173,"{'type': 'Point', 'coordinates': [40.4282008, -3.6150173]}",More than 50€
121,Padel Kas,3.8,"Calle de Luis I, 56, 28031 Madrid, Spain",,paddle tennis court,plan,outdoors,28031,40.3755744,-3.6472687,"{'type': 'Point', 'coordinates': [40.3755744, -3.6472687]}",More than 50€
122,Centro deportivo SMP,4.2,"Calle del Dr. Esquerdo, 64, 65, 28007 Madrid, Spain",,paddle tennis court,plan,outdoors,28007,40.4141402,-3.6711062,"{'type': 'Point', 'coordinates': [40.4141402, -3.6711062]}",More than 50€
123,Grupo de Padel Arganzuela - Quedadas y Pozos Padel (LOS GALLURAZOS),4.0,"Calle de Gallur, 2, 28047 Madrid, Spain",,paddle tennis court,plan,outdoors,28047,40.398517,-3.7353674,"{'type': 'Point', 'coordinates': [40.398517, -3.7353674]}",More than 50€
124,Padel Indoor Alcorcon,4.4,"Calle Electrónica, 40, 28923 Alcorcón, Madrid, Spain",,paddle tennis court,plan,outdoors,28923,40.3337992,-3.8168377,"{'type': 'Point', 'coordinates': [40.3337992, -3.8168377]}",More than 50€
125,Escuela de Padel Y Tenis. CD RAQUETAS VILLA DE VALLECAS,4.9,"Calle de Cordel de Pavones, 100Q, 28032 Madrid, Spain",,paddle tennis court,plan,outdoors,28032,40.4005966,-3.618443399999999,"{'type': 'Point', 'coordinates': [40.4005966, -3.618443399999999]}",More than 50€
126,Club Alameda,4.2,"Paseo de la Alameda de Osuna, 52, 28042 Madrid, Spain",,paddle tennis court,plan,outdoors,28042,40.455115,-3.59587,"{'type': 'Point', 'coordinates': [40.455115, -3.59587]}",More than 50€
127,indoor paddle planet,4.2,"Av. del Sol, 3, 28850 Madrid, Spain",,paddle tennis court,plan,outdoors,28850,40.4525151,-3.4834333,"{'type': 'Point', 'coordinates': [40.4525151, -3.4834333]}",More than 50€
128,Club Suanzes Deporte y Ocio,3.9,"Plaza de las Olivas, 5, 28027 Madrid, Spain",,paddle tennis court,plan,outdoors,28027,40.4452677,-3.6235415,"{'type': 'Point', 'coordinates': [40.4452677, -3.6235415]}",More than 50€
129,Pistas padel,0.0,"Calle de Aniceto Marinas, 44, 28008 Madrid, Spain",,paddle tennis court,plan,outdoors,28008,40.4231307,-3.7239982,"{'type': 'Point', 'coordinates': [40.4231307, -3.7239982]}",More than 50€
130,Pistas de pádel,3.0,"28223 Pozuelo de Alarcón, Madrid, Spain",,paddle tennis court,plan,outdoors,28223,40.4418206,-3.8331169,"{'type': 'Point', 'coordinates': [40.4418206, -3.8331169]}",More than 50€
131,Club De Tenis La Moraleja,4.4,"Calle del Camino Nuevo, 80, 92, 28109 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28109,40.5195655,-3.639552999999999,"{'type': 'Point', 'coordinates': [40.5195655, -3.639552999999999]}",More than 50€
132,PADEL EN TU PISTA,5.0,"Calle de César Cort Botí, Nª53, 28055 Madrid, Spain",,paddle tennis court,plan,outdoors,28055,40.49777599999999,-3.6126635,"{'type': 'Point', 'coordinates': [40.49777599999999, -3.6126635]}",More than 50€
133,Pistas Tenis,4.6,"Calle de Carlos Sole, 11, 28038 Madrid, Spain",,tennis court,plan,outdoors,28038,40.3920327,-3.648745,"{'type': 'Point', 'coordinates': [40.3920327, -3.648745]}",More than 50€
134,Tennis Courts Sports Center Municipal Concepción,3.7,"Calle Hermanos de Pablo, 44, 28027 Madrid, Spain",,tennis court,plan,outdoors,28027,40.4389008,-3.6467084,"{'type': 'Point', 'coordinates': [40.4389008, -3.6467084]}",More than 50€
135,Club de Tenis Chamartin,4.2,"Calle Federico Salmón, 4, 28016 Madrid, Spain",,tennis court,plan,outdoors,28016,40.4608479,-3.6676444,"{'type': 'Point', 'coordinates': [40.4608479, -3.6676444]}",More than 50€
136,Club de Tenis Corbachotenis,4.7,"Paseo de la Ermita del Santo, 48, 28011 Madrid, Spain",,tennis court,plan,outdoors,28011,40.4068435,-3.724651,"{'type': 'Point', 'coordinates': [40.4068435, -3.724651]}",More than 50€
137,Centro Deportivo Municipal Tenis Casa de Campo,4.3,"Camino Príncipe, 2, 28011 Madrid, Spain",,tennis court,plan,outdoors,28011,40.4214437,-3.7357217,"{'type': 'Point', 'coordinates': [40.4214437, -3.7357217]}",More than 50€
138,Club De Tenis El Viso,3.6,"Calle de Serrano, 155, 28002 Madrid, Spain",,tennis court,plan,outdoors,28002,40.4472529,-3.6842836,"{'type': 'Point', 'coordinates': [40.4472529, -3.6842836]}",More than 50€
139,Pista de Tenis Juan Pinel,4.6,"Paseo de la Venta, 3, 28011 Madrid, Spain",,tennis court,plan,outdoors,28011,40.4124208,-3.7565055,"{'type': 'Point', 'coordinates': [40.4124208, -3.7565055]}",More than 50€
