stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_5_36,36,GETAFE SECTOR 3,,40.2882594725019,-3.73724253672422,B1,https://www.crtm.es,0,,Europe/Madrid,2
par_5_37,37,GOLOSO EL,,40.558583101112,-3.71397804023902,B1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_4,4,ALCOBENDAS-S.S. DE LOS REYES,,40.5465755919252,-3.63509249422751,B1,https://www.crtm.es,0,,Europe/Madrid,2
par_5_43,43,MARGARITAS-UNIVERSIDAD LAS,,40.323052580859,-3.72728643362543,B1,https://www.crtm.es,0,,Europe/Madrid,2
par_5_53,53,PARLA,,40.2407799399339,-3.76926846708883,B2,https://www.crtm.es,0,,Europe/Madrid,2
par_5_83,83,TRES CANTOS,,40.5984457667284,-3.71556021510206,B2,https://www.crtm.es,0,,Europe/Madrid,1
par_5_84,84,UNIVERSIDAD P. COMILLAS,,40.5540663923206,-3.68324540394647,B1,https://www.crtm.es,0,,Europe/Madrid,2
par_5_85,85,VALDELASFUENTES,,40.5474506798862,-3.65424433859136,B1,https://www.crtm.es,0,,Europe/Madrid,2
par_5_92,92,VILLAVERDE ALTO,,40.3412389095586,-3.71183451015835,A,https://www.crtm.es,0,,Europe/Madrid,2
par_5_1,1,AGUILAS LAS,,40.3811944339821,-3.78018188322857,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_104,104,HUMANES,,40.2556605065454,-3.82837195835634,B3,https://www.crtm.es,0,,Europe/Madrid,1
par_5_105,105,PARQUE POLVORANCA,,40.3125159337883,-3.78325102527616,B1,https://www.crtm.es,0,,Europe/Madrid,1
par_5_24,24,CUATRO VIENTOS,,40.3777131916194,-3.79134448595795,A,https://www.crtm.es,0,,Europe/Madrid,1
par_5_26,26,DOCE DE OCTUBRE,,40.3789688238609,-3.69851928058378,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_28,28,EMBAJADORES,,40.4051335849373,-3.70253726435191,A,https://www.crtm.es,0,,Europe/Madrid,1
par_5_30,30,FANJUL,,40.3836601949576,-3.76847643392453,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_32,32,FUENLABRADA,,40.2826888663979,-3.79876380807025,B2,https://www.crtm.es,0,,Europe/Madrid,1
par_5_40,40,LAGUNA,,40.3991887229175,-3.74413102406784,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_41,41,LEGANES,,40.3289921512769,-3.77138744820868,B1,https://www.crtm.es,0,,Europe/Madrid,1
par_5_48,48,MOSTOLES,,40.3285131038066,-3.86339907310142,B2,https://www.crtm.es,0,,Europe/Madrid,1
par_5_49,49,MOSTOLES EL SOTO,,40.3309024566344,-3.88224085064992,B2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_5,5,ALCORCON,,40.3500882086698,-3.83163400931515,B1,https://www.crtm.es,0,,Europe/Madrid,1
par_5_52,52,ORCASITAS,,40.3669156270104,-3.70431923112543,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_62,62,PUENTE ALCOCER,,40.350298433469,-3.70506479207328,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_66,66,RETAMAS LAS,,40.3419027014314,-3.84232998157746,B1,https://www.crtm.es,0,,Europe/Madrid,1
par_5_7,7,ALUCHE,,40.385639846032,-3.76065253976074,A,https://www.crtm.es,0,est_90_1,,0
par_5_72,72,SAN JOSE DE VALDERAS,,40.3565433759808,-3.81579179255598,B1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_77,77,SERNA LA,,40.2967328627135,-3.792387332242,B2,https://www.crtm.es,0,,Europe/Madrid,1
par_5_95,95,ZARZAQUEMADA,,40.3408651674076,-3.74821098376834,B1,https://www.crtm.es,0,,Europe/Madrid,1
est_90_1,1,Aluche,Calle de Valmojado 293,40.38563,-3.76085,A,https://www.crtm.es,1,,Europe/Madrid,0
par_5_13,13,BARRIAL-C.COM.POZUELO EL,,40.4653831832569,-3.80764742784864,B1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_42,42,MAJADAHONDA,,40.4742852339637,-3.84525619878252,B2,https://www.crtm.es,0,,Europe/Madrid,1
par_5_60,60,POZUELO,,40.4472743567471,-3.80002515742272,B1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_68,68,ROZAS LAS,,40.4942420238914,-3.86803338256422,B2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_9,9,ARAVACA,,40.4483360938325,-3.78576906207162,A,https://www.crtm.es,0,,Europe/Madrid,1
par_5_16,16,CERCEDILLA,,40.7375733500909,-4.06580719855992,C2,https://www.crtm.es,0,,Europe/Madrid,1
par_5_20,20,COLLADO MEDIANO,,40.692759921719,-4.03577699260154,C1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_47,47,MOLINOS LOS,,40.7073509340203,-4.06672201436673,C2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_50,50,NEGRALES LOS,,40.6385815868385,-4.02180081138074,C1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_6,6,ALPEDRETE,,40.658165812941,-4.03496961859464,C1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_23,23,COTOS,,40.8222601406103,-3.96443439316078,C2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_63,63,PUERTO NAVACERRADA,,40.7844156670706,-4.00464386263311,C2,https://www.crtm.es,0,,Europe/Madrid,0
