provincia;poblacion;codigopostalid;lat;lon
Madrid;Majadahonda;28222;-3.874.115.130;40.472.099.620
Madrid;Manzanares el Real;28410;-3.864.864.850;40.726.098.120
Madrid;Manzanares el Real;28470;-3.864.864.850;40.726.098.120
Madrid;Manzanares el Real;28492;-3.864.864.850;40.726.098.120
Madrid;Meco;28880;-3.329.081.790;40.553.750.830
Madrid;Mejorada del Campo;28840;-3.488.470.750;40.396.791.370
Madrid;Miraflores de la Sierra;28792;-3.765.397.310;40.813.902.540
Madrid;Los Molinos;28460;-4.072.492.460;40.715.212.890
Madrid;Montejo de la Sierra;28190;-3.530.033.400;41.059.202.810
Madrid;Moraleja de Enmedio;28950;-3.859.655.800;40.259.791.140
Madrid;Moralzarzal;28411;-3.972.797.740;40.681.314.120
Madrid;Morata de Taju√±a;28530;-3.434.061.960;40.228.625.150
Madrid;Mostoles;28635;-3.864.888.800;40.323.555.370
Madrid;Mostoles;28931;-3.864.888.800;40.323.555.370
Madrid;Mostoles;28932;-3.864.888.800;40.323.555.370
Madrid;Mostoles;28933;-3.864.888.800;40.323.555.370
Madrid;Mostoles;28934;-3.864.888.800;40.323.555.370
Madrid;Mostoles;28935;-3.864.888.800;40.323.555.370
Madrid;Mostoles;28936;-3.864.888.800;40.323.555.370
Madrid;Mostoles;28937;-3.864.888.800;40.323.555.370
Madrid;Mostoles;28938;-3.864.888.800;40.323.555.370
Madrid;Navacerrada;28491;-4.013.782.590;40.730.904.510
Madrid;Navalafuente;28729;-3.673.979.730;40.824.426.340
Madrid;Navalagamella;28210;-4.119.933.150;40.468.655.750
Madrid;Navalagamella;28212;-4.119.933.150;40.468.655.750
Madrid;Navalagamella;28954;-4.119.933.150;40.468.655.750
Madrid;Navalcarnero;28600;-4.014.780.840;40.288.472.950
Madrid;Navarredonda y San Mames;28739;-3.726.315.120;40.990.825.330
Madrid;Navas del Rey;28695;-4.252.279.220;40.382.569.790
Madrid;Nuevo Baztan;28514;-3.243.131.280;40.366.148.880
Madrid;Olmeda de las Fuentes;28515;-3.221.576.750;40.369.705.410
Madrid;Orusco de Taju√±a;28570;-3.209.359.020;40.284.266.210
Madrid;Paracuellos de Jarama;28860;-3.531.470.480;40.504.918.570
Madrid;Paracuellos de Jarama;28861;-3.531.470.480;40.504.918.570
Madrid;Paracuellos de Jarama;28862;-3.531.470.480;40.504.918.570
Madrid;Parla;28980;-3.770.869.100;40.237.820.830
Madrid;Parla;28981;-3.770.869.100;40.237.820.830
Madrid;Parla;28982;-3.770.869.100;40.237.820.830
Madrid;Parla;28983;-3.770.869.100;40.237.820.830
Madrid;Parla;28984;-3.770.869.100;40.237.820.830
Madrid;Patones;28189;-3.493.031.960;40.865.490.420
Madrid;Pedrezuela;28723;-3.603.346.500;40.745.551.030
Madrid;Pelayos de la Presa;28696;-4.336.053.230;40.359.371.430
Madrid;Perales de Taju√±a;28540;-3.353.298.500;40.233.358.510
Madrid;Pezuela de las Torres;28812;-3.177.568.310;40.418.511.420
Madrid;Pinilla del Valle;28749;-3.817.664.980;40.927.030.650
Madrid;Pinto;28320;-3.698.249.530;40.243.182.380
Madrid;Gandullas;28737;-3.599.498.970;41.032.883.490
Madrid;Pozuelo de Alarcon;28223;-3.815.816.390;40.435.939.870
Madrid;Pozuelo de Alarcon;28224;-3.815.816.390;40.435.939.870
Madrid;Pozuelo de Alarcon;28813;-3.321.659.430;40.366.598.020
Madrid;Pradena del Rincon;28191;-3.541.751.900;41.044.185.880
Madrid;Puebla de la Sierra;28190;-3.445.172.150;41.012.177.650
Madrid;Quijorna;28693;-4.057.608.710;40.426.864.660
Madrid;Rascafria;28740;-3.880.959.820;40.905.665.710
Madrid;Rascafria;28749;-3.880.959.820;40.905.665.710
Madrid;Redueña;28721;-3.601.972.690;40.816.554.150
Madrid;Ribatejada;28815;-3.393.196.530;40.667.441.080
Madrid;Rivas-Vaciamadrid;28521;-3.516.098.020;40.328.012.640
Madrid;Rivas-Vaciamadrid;28522;-3.516.098.020;40.328.012.640
Madrid;Rivas-Vaciamadrid;28523;-3.516.098.020;40.328.012.640
Madrid;Rivas-Vaciamadrid;28524;-3.516.098.020;40.328.012.640
Madrid;Rivas-Vaciamadrid;28529;-3.516.098.020;40.328.012.640
Madrid;Robledillo de la Jara;28194;-3.523.878.040;40.952.105.100
Madrid;Robledo de Chavela;28294;-4.239.374.030;40.501.778.480
Madrid;Robregordo;28755;-3.593.547.680;41.106.736.080
Madrid;Las Rozas de Madrid;28231;-3.874.573.080;40.491.951.870
Madrid;Las Rozas de Madrid;28232;-3.874.573.080;40.491.951.870
Madrid;Las Rozas de Madrid;28290;-3.874.573.080;40.491.951.870
Madrid;Rozas de Puerto Real;28649;-4.489.931.370;40.309.825.970
Madrid;San Agustin del Guadalix;28750;-3.617.431.140;40.678.939.140
Madrid;San Fernando de Henares;28830;-3.535.005.870;40.425.325.210
Madrid;San Lorenzo de El Escorial;28200;-4.145.088.030;40.592.540.630
Madrid;San Lorenzo de El Escorial;28750;-4.145.088.030;40.592.540.630
Madrid;San Martin de la Vega;28330;-3.570.049.470;40.207.711.520
Madrid;San Martin de la Vega;28680;-4.396.960.170;40.361.570.720
Madrid;San Sebastian de los Reyes;28700;-3.626.718.790;40.547.054.700
Madrid;San Sebastian de los Reyes;28701;-3.626.718.790;40.547.054.700
Madrid;San Sebastian de los Reyes;28702;-3.626.718.790;40.547.054.700
Madrid;San Sebastian de los Reyes;28703;-3.626.718.790;40.547.054.700
Madrid;San Sebastian de los Reyes;28706;-3.626.718.790;40.547.054.700
Madrid;San Sebastian de los Reyes;28707;-3.626.718.790;40.547.054.700
Madrid;San Sebastian de los Reyes;28708;-3.626.718.790;40.547.054.700
Madrid;San Sebastian de los Reyes;28709;-3.626.718.790;40.547.054.700
Madrid;Santa Maria de la Alameda;28296;-4.258.131.560;40.596.139.400
Madrid;Santa Maria de la Alameda;28297;-4.258.131.560;40.596.139.400
Madrid;Santorcaz;28818;-3.234.959.210;40.472.302.810
Madrid;Los Santos de la Humosa;28817;-3.259.643.920;40.501.457.950
Madrid;La Serna del Monte;28737;-3.626.027.010;41.032.823.720
Madrid;Serranillos del Valle;28979;-3.884.287.910;40.205.189.630
Madrid;Sevilla la Nueva;28609;-4.027.283.740;40.346.615.420
Madrid;Somosierra;28756;-3.580.844.040;41.132.879.150
Madrid;Soto del Real;28791;-3.788.260.260;40.752.941.940
Madrid;Talamanca de Jarama;28160;-3.514.870.040;40.746.185.910
Madrid;Tielmes;28550;-3.313.050.200;40.246.483.170
Madrid;Titulcia;28359;-3.570.678.250;40.135.516.250
Madrid;Torrejon de Ardoz;28850;-3.478.990.190;40.459.156.100
Madrid;Torrejon de Ardoz;28991;-3.795.042.400;40.199.872.330
Madrid;Torrejon de Ardoz;28990;-3.778.873.360;40.187.360.050
Madrid;Torrelaguna;28180;-3.538.200.550;40.828.003.100
Madrid;Torrelodones;28250;-3.931.355.760;40.576.497.850
Madrid;Torremocha de Jarama;28189;-3.495.823.550;40.835.606.540
Madrid;Torres de la Alameda;28813;-3.363.015.300;40.406.594.120
Madrid;Valdaracete;28594;-3.192.022.890;40.210.104.160
Madrid;Valdeavero;28816;-3.331.613.990;40.631.292.260
Madrid;Valdelaguna;28391;-3.366.774.340;40.162.125.150
Madrid;Valdemanco;28729;-3.663.505.970;40.871.816.970
Madrid;Valdemaqueda;28295;-4.295.148.700;40.511.013.460
Madrid;Valdemorillo;28210;-4.067.051.090;40.502.164.340
Madrid;Valdemoro;28340;-3.678.814.740;40.188.899.480
Madrid;Valdeolmos-Alalpardo;28130;-3.474.563.520;40.629.569.630
Madrid;Valdepielagos;28170;-3.463.696.510;40.762.842.970
Madrid;Valdetorres de Jarama;28150;-3.512.610.800;40.695.594.510
Madrid;Valdilecha;28511;-3.303.707.530;40.295.013.860
Madrid;Valverde de Alcala;28812;-3.298.509.310;40.418.940.100
Madrid;Velilla de San Antonio;28891;-3.488.274.820;40.366.332.150
Madrid;El Vellon;28722;-3.581.492.820;40.765.986.250
Madrid;Venturada;28729;-3.617.799.840;40.799.633.840
Madrid;Villaconejos;28360;-3.485.679.100;40.103.920.240
Madrid;Villa del Prado;28630;-4.305.531.510;40.276.432.030
Madrid;Villalbilla;28810;-3.297.791.590;40.432.662.900
Madrid;Villamanrique de Tajo;28598;-3.238.613.660;40.067.776.880
Madrid;Villamanta;28610;-4.107.635.630;40.300.558.690
Madrid;Villamantilla;28609;-4.129.779.720;40.338.678.110
Madrid;Villanueva de la Ca√±ada;28691;-4.003.408.140;40.447.752.900
Madrid;Villanueva de la Ca√±ada;28692;-4.003.408.140;40.447.752.900
Madrid;Villanueva del Pardillo;28229;-3.964.383.460;40.489.544.100
Madrid;Villanueva de Perales;28609;-4.101.258.680;40.346.998.130
Madrid;Villar del Olmo;28512;-3.235.360.010;40.336.173.070
Madrid;Villar del Olmo;28514;-3.235.360.010;40.336.173.070
Madrid;Villarejo de Salvan√©s;28590;-3.272.326.260;40.167.834.740
Madrid;Villaviciosa de Odon;28670;-3.896.484.280;40.357.648.780
Madrid;Villavieja del Lozoya;28739;-3.670.805.960;41.005.988.870
Madrid;Zarzalejo;28293;-4.182.479.350;40.548.237.890
Madrid;Lozoyuela-Navas-Sieteiglesias;28752;-3.618.396.740;40.927.819.810
Madrid;Lozoyuela-Navas-Sieteiglesias;28753;-3.618.396.740;40.927.819.810
Madrid;Lozoyuela-Navas-Sieteiglesias;28754;-3.618.396.740;40.927.819.810
Madrid;Puentes Viejas;28195;-3.583.264.550;40.964.450.110
Madrid;Puentes Viejas;28196;-3.583.264.550;40.964.450.110
Madrid;Puentes Viejas;28754;-3.583.264.550;40.964.450.110
Madrid;Tres Cantos;28760;-3.704.205.900;40.604.905.350
Madrid;Tres Cantos;28761;-3.704.205.900;40.604.905.350
